location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,z,z3,z5,internsity_normal
"Artvin","ArtvİN",7,41.3,40.05,2.9425,3.267582,5.3614,41.3,41.3,.01,5.461355
"Artvin","ArtvİN",8,42.2,40.65,16.279,18.07747,7.1373,42.2,42.2,0,7.256215
"Artvin","ArtvİN",7,40.6,41.7,2.8959,3.215834,5.3463,40.6,40.6,.01,5.446061
"Artvin","ArtvİN",6.5,41.6,41.1,5.2056,5.780704,5.9194,41.6,41.6,.01,6.025575
"Artvin","ArtvİN",8,40.6,41.65,8.6976,9.658495,6.4507,40.6,40.6,.01,6.562639
"Artvin","ArtvİN",6,42.3,40.2,.91836,1.019819,4.3294,42.3,42.3,.01,4.416384
"Artvin","ArtvİN",8,42.85,40.9,13.58,15.08029,6.9345,42.85,42.85,.01,7.051369
"Artvin","ArtvİN",8,43.4,41.4,9.6868,10.75698,6.5658,43.4,43.4,0,6.678873
"Artvin","ArtvİN",7,43.4,40.8,3.3459,3.715549,5.4841,43.4,43.4,0,5.585423
"Artvin","ArtvİN",6,40.65,41.85,.64499,.7162473,4.0445,40.65,40.65,0,4.127603
"Artvin","ArtvİN",7,40.6,41.5,3.0703,3.409501,5.4018,40.6,40.6,.01,5.502219
"Artvin","ArtvİN",6.5,41.3,40.3,1.8073,2.006967,4.912,41.3,41.3,.01,5.006506
"Artvin","ArtvİN",7.5,42.5,41.8,7.7717,8.630302,6.3318,42.5,42.5,0,6.442491
"Artvin","ArtvİN",6.5,41.4,40.15,1.6582,1.841395,4.8352,41.4,41.4,0,4.928767
"Artvin","ArtvİN",8,42.5,41.8,12.08,13.41458,6.8054,42.5,42.5,0,6.920948
"Artvin","ArtvİN",7,40.6,41.35,3.1648,3.514441,5.4308,40.6,40.6,.01,5.531473
"Artvin","ArtvİN",6.5,41.25,41.65,2.2579,2.507349,5.1141,41.25,41.25,0,5.211116
"Artvin","ArtvİN",7.5,42.9,40.9,8.5316,9.474155,6.4303,42.9,42.9,0,6.541975
"Artvin","ArtvİN",7.5,40.6,41.3,5.685,6.313068,6.0086,40.6,40.6,.01,6.115769
"Artvin","ArtvİN",7.5,40.6,41.25,5.711,6.34194,6.0132,40.6,40.6,.01,6.120463
"Artvin","ArtvİN",7,43.65,41,2.9843,3.314,5.3748,43.65,43.65,0,5.474891
"Artvin","ArtvİN",7,41.65,41.6,5.8335,6.477974,6.0348,41.65,41.65,0,6.142324
"Artvin","ArtvİN",6,40.6,41.25,.76101,.8450849,4.1762,40.6,40.6,.01,4.261145
"Artvin","ArtvİN",7.5,43.4,40.65,5.6959,6.325172,6.0105,43.4,43.4,0,6.11774
"Artvin","ArtvİN",8,43.7,40.6,8.1497,9.050063,6.3818,43.7,43.7,0,6.493022
"Artvin","ArtvİN",7.5,42.85,40,5.132,5.698974,5.905,42.85,42.85,.01,6.011074
"Artvin","ArtvİN",6.5,40.6,41.15,1.6455,1.827292,4.8284,40.6,40.6,.01,4.921863
"Artvin","ArtvİN",8,40.6,41.1,9.3042,10.33211,6.5226,40.6,40.6,.01,6.635245
"Artvin","ArtvİN",7.5,43.4,40.6,5.6067,6.226118,5.9945,43.4,43.4,0,6.101516
