location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,z,z3,z5,internsity_normal
"Amasya","Amasya",7,34.9,41.4,3.4339,3.813271,5.5091,34.9,34.9,0,5.610705
"Amasya","Amasya",8,34.3,41.1,8.5842,9.532566,6.4368,34.3,34.3,.01,6.548562
"Amasya","Amasya",7,35.65,41.8,3.0859,3.426825,5.4067,35.65,35.65,0,5.507103
"Amasya","Amasya",7.5,35.65,41.8,5.5268,6.137391,5.9799,35.65,35.65,0,6.086786
"Amasya","Amasya",7.5,34.9,41.1,7.1435,7.9327,6.2437,34.9,34.9,0,6.353397
"Amasya","Amasya",6,34.9,41.1,1.0463,1.161893,4.4379,34.9,34.9,0,4.526308
"Amasya","Amasya",8,36.35,39.65,9.47,10.51623,6.5415,36.35,36.35,.01,6.654346
"Amasya","Amasya",8,34.9,40.95,11.914,13.23024,6.7903,34.9,34.9,0,6.905626
"Amasya","Amasya",6.5,34.9,40.8,2.5265,2.805623,5.2182,34.9,34.9,0,5.316421
"Amasya","Amasya",8,35.8,40.15,15.875,17.62884,7.109,35.8,35.8,.01,7.22761
"Amasya","Amasya",7.5,34.9,40.65,8.1463,9.046288,6.3814,34.9,34.9,0,6.492577
"Amasya","Amasya",7,34.9,40.5,4.7044,5.224133,5.8178,34.9,34.9,0,5.92294
"Amasya","Amasya",8,34.9,40.25,11.43,12.69277,6.7449,34.9,34.9,0,6.859822
"Amasya","Amasya",6.5,34.9,40.2,2.1665,2.405851,5.0762,34.9,34.9,0,5.172739
"Amasya","Amasya",7.5,36.2,39.35,4.9476,5.494201,5.8682,36.2,36.2,0,5.973905
"Amasya","Amasya",6,34.9,40.15,1.0016,1.112255,4.4014,34.9,34.9,0,4.48931
"Amasya","Amasya",7.5,34.95,40.7,8.492,9.43018,6.4254,34.95,34.95,0,6.536991
"Amasya","Amasya",6,34.9,39.9,.82362,.914612,4.2402,34.9,34.9,0,4.325995
"Amasya","Amasya",7.5,34.8,40.4,7.2245,8.022649,6.2554,34.8,34.8,.01,6.365272
"Amasya","Amasya",8,34.9,39.75,9.0576,10.05827,6.4939,34.9,34.9,0,6.606259
"Amasya","Amasya",8,35.05,41.45,9.9967,11.10112,6.5996,35.05,35.05,.01,6.713086
"Amasya","Amasya",7,34.9,39.75,3.1061,3.449256,5.4129,34.9,34.9,0,5.513394
"Amasya","Amasya",7,37.3,41.1,2.9946,3.325438,5.3781,37.3,37.3,.01,5.478201
"Amasya","Amasya",7,35.05,41.4,3.673,4.078786,5.5742,35.05,35.05,.01,5.676589
"Amasya","Amasya",8,34.9,39.65,8.651,9.606746,6.445,34.9,34.9,0,6.556874
"Amasya","Amasya",6,34.9,39.6,.65391,.7261527,4.0553,34.9,34.9,0,4.138581
"Amasya","Amasya",8,34.9,39.55,8.275,9.189206,6.398,34.9,34.9,0,6.509307
"Amasya","Amasya",6.5,34.9,39.55,1.3811,1.533681,4.6747,34.9,34.9,0,4.766271
"Amasya","Amasya",6.5,36.8,41.5,1.6236,1.802972,4.8165,36.8,36.8,.01,4.909848
"Amasya","Amasya",8,35.65,39.7,10.224,11.35353,6.6239,35.65,35.65,0,6.737576
"Amasya","Amasya",7,35.05,40.4,5.2158,5.792031,5.9213,35.05,35.05,.01,6.02757
"Amasya","Amasya",7,35.35,40.8,8.0861,8.979437,6.3736,35.35,35.35,.01,6.48467
"Amasya","Amasya",7,34.65,41.2,3.3713,3.743755,5.4914,34.65,34.65,0,5.592781
"Amasya","Amasya",7.5,35.5,39.8,6.8125,7.565132,6.1944,35.5,35.5,0,6.303577
"Amasya","Amasya",6.5,35.05,39.8,1.7481,1.941227,4.8822,35.05,35.05,.01,4.976343
"Amasya","Amasya",7.5,35.35,40.4,11.73,13.02591,6.7732,35.35,35.35,.01,6.888414
"Amasya","Amasya",8,36.9,40.15,10.275,11.41016,6.6292,36.9,36.9,0,6.743003
"Amasya","Amasya",6,37.15,41.45,.65157,.7235543,4.0525,37.15,37.15,0,4.135714
"Amasya","Amasya",6.5,34.7,40.85,2.0676,2.296025,5.0335,34.7,34.7,0,5.12956
"Amasya","Amasya",7,35.5,41.2,5.5415,6.153715,5.9826,35.5,35.5,0,6.08951
"Amasya","Amasya",6.5,34.7,40.35,1.9953,2.215737,5.0012,34.7,34.7,0,5.096822
"Amasya","Amasya",7,35.2,39.4,2.7,2.998291,5.2803,35.2,35.2,0,5.379272
"Amasya","Amasya",7,36.2,41.15,5.8299,6.473976,6.0342,36.2,36.2,0,6.141688
"Amasya","Amasya",7,35.5,40.9,8.9048,9.888586,6.4758,35.5,35.5,0,6.587939
"Amasya","Amasya",8,34.6,40.55,10.367,11.51233,6.6389,34.6,34.6,.01,6.752732
"Amasya","Amasya",6.5,35.15,41.05,2.7997,3.109006,5.3144,35.15,35.15,0,5.413783
"Amasya","Amasya",6.5,34.7,39.85,1.5397,1.709803,4.7697,34.7,34.7,0,4.862451
"Amasya","Amasya",7.5,34.85,41.6,5.3568,5.948609,5.9483,34.85,34.85,.01,6.054799
"Amasya","Amasya",6.5,35.55,39.45,1.4865,1.650726,4.7389,35.55,35.55,.01,4.831203
"Amasya","Amasya",8,36.05,41,18.935,21.0269,7.3091,36.05,36.05,.01,7.429654
"Amasya","Amasya",6,34.7,41.55,.672,.7462413,4.0769,34.7,34.7,0,4.160453
"Amasya","Amasya",6,35.55,39.65,.83336,.925428,4.2498,35.55,35.55,.01,4.335695
"Amasya","Amasya",6,35.1,40.2,1.2425,1.379769,4.5836,35.1,35.1,.01,4.673901
"Amasya","Amasya",8,35.9,41.4,12.091,13.42679,6.8065,35.9,35.9,0,6.921957
"Amasya","Amasya",7.5,37.05,41.15,5.9857,6.646989,6.0612,37.05,37.05,.01,6.168919
"Amasya","Amasya",6.5,34.85,41.65,1.4586,1.619743,4.7223,34.85,34.85,.01,4.81442
"Amasya","Amasya",6,34.85,41.65,.66987,.743876,4.0744,34.85,34.85,.01,4.157905
"Amasya","Amasya",7,34.85,41.55,3.0673,3.40617,5.4009,34.85,34.85,.01,5.501277
"Amasya","Amasya",6.5,34.85,41.5,1.6115,1.789536,4.8099,34.85,34.85,.01,4.903147
"Amasya","Amasya",8,34.85,41.3,10.049,11.15919,6.6052,34.85,34.85,.01,6.718765
"Amasya","Amasya",7,34.85,41.2,3.7813,4.199051,5.6025,34.85,34.85,.01,5.705179
"Amasya","Amasya",6,35.75,40.1,1.6579,1.841062,4.835,35.75,35.75,0,4.928604
"Amasya","Amasya",8,34.85,41,11.371,12.62725,6.7393,34.85,34.85,.01,6.854119
"Amasya","Amasya",7,34.85,40.95,4.2941,4.768504,5.7273,34.85,34.85,.01,5.83135
"Amasya","Amasya",7,35.75,41.55,3.8668,4.293997,5.6243,35.75,35.75,0,5.727238
"Amasya","Amasya",7.5,34.85,40.75,7.7689,8.627193,6.3315,34.85,34.85,.01,6.442108
"Amasya","Amasya",7,34.85,40.75,4.5509,5.053675,5.7848,34.85,34.85,.01,5.889544
"Amasya","Amasya",7,35,41.65,3.0327,3.367747,5.3901,35,35,0,5.490356
"Amasya","Amasya",8,34.85,40.55,12.061,13.39348,6.8037,34.85,34.85,.01,6.919204
"Amasya","Amasya",7.5,35.65,40.6,26.704,29.65421,7.7088,35.65,35.65,0,7.833177
"Amasya","Amasya",6.5,34.85,40.55,2.423,2.690689,5.1793,34.85,34.85,.01,5.277077
"Amasya","Amasya",6.5,34.85,40.45,2.3587,2.619285,5.1544,34.85,34.85,.01,5.251876
"Amasya","Amasya",7.5,34.85,40.35,7.3554,8.168011,6.2742,34.85,34.85,.01,6.384211
"Amasya","Amasya",7,34.85,40.35,4.2756,4.74796,5.723,34.85,34.85,.01,5.827039
"Amasya","Amasya",7.5,34.85,40.3,7.2129,8.009768,6.2537,34.85,34.85,.01,6.363578
"Amasya","Amasya",8,36.8,41.05,11.268,12.51287,6.7294,36.8,36.8,.01,6.844099
"Amasya","Amasya",6,34.85,40.1,.92889,1.031512,4.3388,34.85,34.85,.01,4.425921
"Amasya","Amasya",7.5,35.6,41.85,5.329,5.917738,5.943,35.6,35.6,.01,6.049482
"Amasya","Amasya",7.5,34.85,39.75,5.468,6.072094,5.9691,34.85,34.85,.01,6.075823
"Amasya","Amasya",6,34.85,39.7,.6895,.7656747,4.0973,34.85,34.85,.01,4.18113
"Amasya","Amasya",7.5,34.85,39.55,4.9404,5.486206,5.8668,34.85,34.85,.01,5.972429
"Amasya","Amasya",6,35.5,39.55,.74596,.8283722,4.1601,35.5,35.5,0,4.244865
"Amasya","Amasya",6,35.35,41,1.8384,2.041503,4.9273,35.35,35.35,.01,5.022003
"Amasya","Amasya",7,34.45,40.5,3.3359,3.704444,5.4812,34.45,34.45,0,5.582513
"Amasya","Amasya",8,35.45,40.5,21.081,23.40999,7.4326,35.45,35.45,0,7.554323
"Amasya","Amasya",6.5,35.45,41.05,3.7128,4.122983,5.5847,35.45,35.45,0,5.687182
"Amasya","Amasya",6.5,35.45,39.8,2.0243,2.247941,5.0143,35.45,35.45,0,5.110078
